;ID;SCANCODE;VIRTUALKEY;___;S__;_C_;SC_;__A;S_A;_CA;SCA;REMAP;HOLD;HOLDTILLRELEASE;LOOP;LABEL;DEVNOTES
;KEY_A_TILDE;41;0xC0;`;~;`;~;;;;;;;;;;
;KEY_A_1;2;0x31;1;!;1;!;;;;;;;;;;
;KEY_A_2;3;0x32;2;@;2;@;;;;;;;;;;
;KEY_A_3;4;0x33;3;#;3;#;;;;;;;;;;
;KEY_A_4;5;0x34;4;$;4;$;;;;;;;;;;
;KEY_A_5;6;0x35;5;%;5;%;;;;;;;;;;
;KEY_A_6;7;0x36;6;^;6;^;;;;;;;;;;
;KEY_A_7;8;0x37;7;&;7;&;;;;;;;;;;
;KEY_A_8;9;0x38;8;*;8;*;;;;;;;;;;
;KEY_A_9;10;0x39;9;(;9;(;;;;;;;;;;
;KEY_A_0;11;0x30;0;);0;);;;;;;;;;;
;KEY_A_MINUS;12;0xBD;-;_;-;_;;;;;;;;;;
;KEY_A_PLUS;13;0xBB;=;+;=;+;;;;;;;;;;
;KEY_A_Q;16;0x51;q;Q;Q;q;;;;;;;;;;
;KEY_A_W;17;0x57;w;W;W;w;;;;;;;;;;
;KEY_A_E;18;0x45;e;E;E;e;;;;;;;;;;
;KEY_A_R;19;0x52;r;R;R;r;;;;;;;;;;
;KEY_A_T;20;0x54;t;T;T;t;;;;;;;;;;
;KEY_A_Y;21;0x59;y;Y;Y;y;;;;;;;;;;
;KEY_A_U;22;0x55;u;U;U;u;;;;;;;;;;
;KEY_A_I;23;0x49;i;I;I;i;;;;;;;;;;
;KEY_A_O;24;0x4F;o;O;O;o;;;;;;;;;;
;KEY_A_P;25;0x50;p;P;P;p;;;;;;;;;;
;KEY_A_BRACKET_OPENING;26;0xDB;[;{;[;{;;;;;;;;;;
;KEY_A_BRACKET_CLOSING;27;0xDD;];};];};;;;;;;;;;
;KEY_A_BACKSLASH;43;0xDC;\;|;\;|;;;;;;;;;;
;KEY_A_A;30;0x41;a;A;A;a;;;;;;;;;;
;KEY_A_S;31;0x53;s;S;S;s;;;;;;;;;;
;KEY_A_D;32;0x44;d;D;D;d;;;;;;;;;;
;KEY_A_F;33;0x46;f;F;F;f;;;;;;;;;;
;KEY_A_G;34;0x47;g;G;G;g;;;;;;;;;;
;KEY_A_H;35;0x48;h;H;H;h;;;;;;;;;;
;KEY_A_J;36;0x4A;j;J;J;j;;;;;;;;;;
;KEY_A_K;37;0x4B;k;K;K;k;;;;;;;;;;
